Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
TCKU2026129,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760774-EB2,ZIMUCHI902812,EXPRT,ANAM / 16,7209.64,2350,,,,,,,,,N,
ZCSU6538689,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787698-AB1,ZIMUORF0964311,EXPRT,ANAM / 16,4615.36,4000,,,,,,,,,N,
TRHU2353731,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX790392-BB1,ZIMUORF0961906,EXPRT,ANAM / 16,10933.84,2179.96,,,,,,,,,N,
RFCU5054026,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-J396F2,ZIMUORF0961763,EXPRT,ANAM / 16,9913,4000,,2-22-2020 10:58:41 AM,,,,,,,Y,
TLLU5873483,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-J396F1,ZIMUORF0961763,EXPRT,ANAM / 16,9209,4000,,2-22-2020 10:48:59 AM,,,,,,,Y,
DFSU6298410,40GP96,,ZIM,YARD,,FCL,YOK,Y-DLT-J396F3,ZIMUORF0961763,EXPRT,ANAM / 16,9135,4000,,2-22-2020 11:10:28 AM,,,,,,,Y,
ZIMU3006439,20GP86,,ZIM,YARD,,FCL,SHA,Y-DLT-TZ2A073,ZIMUORF0965482,EXPRT,ANAM / 16,12869.77,2179.96,,2-26-2020 1:37:49 PM,,,,,,,Y,
ZCSU8844667,40GP96,,ZIM,RAILCAR,,FCL,KHH,R-DTTX475768-AB1,ZIMUVAN937922,EXPRT,ANAM / 16,6721,4000,,,,,,,,,N,
ZIMU3036963,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX728026-AB1,ZIMUTRT0106494,EXPRT,ANAM / 16,24512,2181,,,,,,,,,N,
CRSU1121364,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX400685-BB2,ZIMUTRT0106494,EXPRT,ANAM / 16,24652,2350,,,,,,,,,N,
ZIMU1430469,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX645664-AB1,ZIMUTRT0106494,EXPRT,ANAM / 16,24672,2350,,,,,,,,,N,
BSIU2720157,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX728026-AB2,ZIMUTRT0106494,EXPRT,ANAM / 16,24612,2350,,,,,,,,,N,
ZIMU1368547,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX454776-AB1,ZIMUTRT0106494,EXPRT,ANAM / 16,24672,2258,,,,,,,,,N,
TRHU3102176,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX400685-AB1,ZIMUTRT0106494,EXPRT,ANAM / 16,24512,2350,,,,,,,,,N,
ZIMU3051232,20GP86,,ZIM,RAILCAR,,FCL,YOK,R-DTTX733227-AB2,ZIMUTRT0106494,EXPRT,ANAM / 16,24512,2180,,,,,,,,,N,
CAAU5473849,40GP96,,ZIM,RAILCAR,,FCL,XMN,R-DTTX652278-AB1,ZIMUMTL0083881,EXPRT,ANAM / 16,8110.22,4000,,,,,,,,,N,
