Container,SzTpHt,,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
ZIMU1145899,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787723-AB1,ZIMUMTL902783,EXPRT,GIAN / 44,22458,2350,,,,,,,,,N,
ZIMU1281391,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787206-BB1,ZIMUMTL902783,EXPRT,GIAN / 44,22388,2258,,,,,,,,,N,
ZIMU1328040,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787723-AB2,ZIMUMTL902783,EXPRT,GIAN / 44,22428,2258,,,,,,,,,N,
TRHU3328327,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-SFLC7411-BB1,SSPHTRT0095604,EXPRT,GIAN / 44,2180,2180,,,,,SOYBEAN DRINK,,,,N,
ZIMU3023267,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CN677012-AB1,ZIMUMTL0074380,EXPRT,GIAN / 44,2350,2350,,,,,"GENERAL CARGO, UNITIZED",,,,N,
SEGU2213410,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX453090-AB2,ZIMUTRT0095369,EXPRT,GIAN / 44,22200,2180,,,,,"GENERAL CARGO, UNITIZED",,,,N,
ZCSU2603600,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX466580-AT1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3720,,,,,,,,,N,
ZCSU2637831,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751309-EB1,ZIMUMTL0074355,EXPRT,GIAN / 44,29369,3720,,,,,HIDES,,,,N,
SEGU2183384,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX788796-AB1,SSPHTRT0095738,EXPRT,GIAN / 44,20267,2267,,,,,,,,,N,
ZCSU2669090,40GP86,,ZIM,RAILCAR,,FCL,TAO,R-DTTX760989-DB1,ZIMUTRT0095166,EXPRT,GIAN / 44,7621,3719.46,,,,,,,,,N,
TLLU4304311,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX740754-EB1,SSPHMTL902722,EXPRT,GIAN / 44,3700,3700,,,,,,,,,N,
ZCSU8515240,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX740754-BB1,SSPHMTL902722,EXPRT,GIAN / 44,4000,4000,,,,,,,,,N,
ZCSU2615874,40GP86,,ZIM,RAILCAR,,FCL,DCB,R-DTTX741104-DB1,ZIMUTRT0094774,EXPRT,GIAN / 44,29575,3719.46,,,,,,,,,N,
ZCSU2714007,40GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760989-CB1,ZIMUTRT0095705,EXPRT,GIAN / 44,29685,3800,,,,,,,,,N,
ZCSU2576103,40GP86,,ZIM,RAILCAR,,FCL,DCB,R-DTTX729225-BB1,ZIMUTRT0094774,EXPRT,GIAN / 44,29314,3740,,,,,,,,,N,
GAOU6138240,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX759805-BB1,ZIMULAX0131615,EXPRT,GIAN / 44,23204.88,4000,,,,,,,,,N,
TCNU5361470,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX658720-AB1,SSPHMTL902722,EXPRT,GIAN / 44,3900,3900,,,,,,,,,N,
ZIMU3009696,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX744093-BB1,ZIMUTRT0095714,EXPRT,GIAN / 44,22515,2350,,,,,,,,,N,
CAIU4336470,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-E014G1,ZIMULAX0131482,EXPRT,GIAN / 44,23498.71,4000,,11-17-2018 10:34:04 PM,,,,,,,Y,
DFSU6494711,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX62748-AB1,ZIMUVAN934405,EXPRT,GIAN / 44,5441.29,4000,,,,,,,,,N,
TEMU1048745,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787206-CB1,ZIMUTRT0093832,EXPRT,GIAN / 44,23436,2350,,,,,,,,,N,
TRHU2926319,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX785284-CB1,ZIMUMTL0073730,EXPRT,GIAN / 44,23615,2350,,,,,,,,,N,
ZIMU1333237,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX765913-BB1,ZIMUMTL0073730,EXPRT,GIAN / 44,23692,2350,,,,,,,,,N,
ZCSU8703801,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-E038G1,ZIMUORF0834874,EXPRT,GIAN / 44,10555,4000,,11-18-2018 4:19:02 PM,,,,,,,Y,
TCNU4245774,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX788415-BB1,ZIMUORF0832585,EXPRT,GIAN / 44,22044.14,4000,,,,,,,,,N,
