Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,A,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5826340,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660886,ZIMUMTL0078988,EXPRT,ANAM / 09,30994.74,4740,,3-6-2020 2:51:44 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8875797,40GP96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-221416,SSPHVAN0081598,EXPRT,ANAM / 09,27761,3860,,3-4-2020 8:51:56 AM,,,PAPER AND PAPERBOARD,,,,N,,,,,,,,,ZCSU887579,,,,,,,,,,,,,,,,
ZCSU2748687,40GP86,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-660216,SSPHORF917430,EXPRT,ANAM / 09,23078,3800,,3-2-2020 10:34:23 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU2566980,40GP86,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300516,ZIMUVAN0081353,EXPRT,ANAM / 09,26649,3740,,3-4-2020 9:05:41 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,ZCSU256698,,,,,,,,,,,,,,,,
TCNU2767358,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580416,SSPHVAN0081388,EXPRT,ANAM / 09,27711,3700,,3-4-2020 9:10:13 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU2797594,40GP86,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300514,ZIMUVAN0081353,EXPRT,ANAM / 09,26940,3720,,3-4-2020 9:19:00 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU7186324,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580288,ZIMUVAN0081194,EXPRT,ANAM / 09,29854,3700,,3-4-2020 1:38:46 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
JXLU5965979,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660186,ZIMUMTL0083653,EXPRT,ANAM / 09,31174.36,4810,,3-4-2020 11:41:45 AM,,,FROZEN MEAT MISC,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
TGBU5497385,40GP96,,ZIM,VESSEL,,FCL,NGB,V-ANAM09-580414,SSPHVAN0081388,EXPRT,ANAM / 09,27711,3700,,3-4-2020 9:11:41 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8682838,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580286,ZIMUVAN0081194,EXPRT,ANAM / 09,30045,3900,,3-4-2020 12:55:51 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMU1444190,20GP86,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-110382,ZIMUVAN937783,EXPRT,ANAM / 09,17340.82,2259.8,,2-26-2020 5:44:36 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
SEGU5201687,40GP96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-221312,SSPHVAN0081598,EXPRT,ANAM / 09,28692,3830,,3-4-2020 8:53:24 AM,,,PAPER AND PAPERBOARD,,,,N,,,,,,,,,SEGU520168,,,,,,,,,,,,,,,,
ZCSU5849407,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500408,ZIMUMTL0084010,EXPRT,ANAM / 09,30855,4680,,3-5-2020 9:58:46 AM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8965843,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580186,ZIMUVAN0081194,EXPRT,ANAM / 09,29996,3900,,3-4-2020 12:51:23 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5829484,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660386,ZIMUMTL0083892,EXPRT,ANAM / 09,30994.74,4000,,3-4-2020 7:17:57 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU5131317,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-661086,ZIMUMTL0083941,EXPRT,ANAM / 09,29992,4840,,3-2-2020 1:23:25 PM,,,CUTTLEFISH FROZEN DRIED OR SALTED,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
TGBU5415896,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580086,ZIMUVAN0081194,EXPRT,ANAM / 09,29796,3700,,3-4-2020 12:53:42 PM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,TGBU541589,,,,,,,,,,,,,,,,
